Beer,Brewery,Location,Style,Size,ABV,IBUs
Big Star White IPA,Four String Brewing Company,"Columbus, OH",American White IPA,12 oz.,7.00%,70
Fenway American Pale Ale,Beer Works Brewery,"Lowell, MA",American Pale Ale (APA),12 oz.,5.80%,45
Firestarter India Pale Ale,Bonfire Brewing Company,"Eagle, CO",American IPA,12 oz.,6.60%,72
Watermelon Ale,Thomas Hooker Brewing Company,"Bloomfield, CT",Fruit / Vegetable Beer,12 oz.,5.10%,11
Back Bay IPA,Beer Works Brewery,"Lowell, MA",American IPA,12 oz.,6.80%,85
Bunker Hill Blueberry Ale,Beer Works Brewery,"Lowell, MA",Other,12 oz.,4.80%,16
Dubbelicious,Brewery Vivant,"Grand Rapids, MI",Dubbel,16 oz.,6.50%,N/A
4000 Footer IPA,"Woodstock Inn, Station & Brewery","North Woodstock, NH",American IPA,12 oz.,6.50%,82
Psychopomp,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,6.20%,N/A
Unchained #18 Hop Silo,Summit Brewing Company,"St. Paul, MN",American Double / Imperial IPA,16 oz.,8.30%,100
Consilium,Renegade Brewing Company,"Denver, CO",American Pale Ale (APA),12 oz.,5.00%,40
Cali Creamin',Mother Earth Brew Company,"Vista, CA",Cream Ale,12 oz.,5.20%,21
Deception,Black Market Brewing Company,"Temecula, CA",American Blonde Ale,12 oz.,4.50%,16
Nitro Can Coffee Stout,Vault Brewing Company,"Yardley, PA",American Stout,12 oz.,5.20%,N/A
Harness the Winter,Bent Paddle Brewing Company,"Duluth, MN",American IPA,12 oz.,7.20%,87
Doomtree,Surly Brewing Company,"Brooklyn Center, MN",Extra Special / Strong Bitter (ESB),16 oz.,5.70%,N/A
Welcome to Scoville,Jailbreak Brewing Company,"Laurel, MD",American IPA,12 oz,6.90%,N/A
Rule G IPA,Smartmouth Brewing Company,"Norfolk, VA",American IPA,12 oz.,7.00%,88
Murphy's Law,Smartmouth Brewing Company,"Norfolk, VA",American Amber / Red Ale,12 oz.,5.80%,35
Alter Ego,Smartmouth Brewing Company,"Norfolk, VA",Saison / Farmhouse Ale,12 oz.,6.20%,33
Hop in the ‘Pool Helles,Base Camp Brewing Co.,"Portland, OR",American Pilsner,12 oz.,4.90%,22
P-Town Pilsner,Alameda Brewing,"Portland, OR",American Pilsner,12 oz.,4.00%,20
Klickitat Pale Ale,Alameda Brewing,"Portland, OR",American Pale Ale (APA),12 oz.,5.30%,36
Yellow Wolf Imperial IPA,Alameda Brewing,"Portland, OR",American Double / Imperial IPA,12 oz.,8.20%,103
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Nonstop Hef Hop,Hopworks Urban Brewery,"Portland, OR",American Pale Wheat Ale,16 oz.,3.90%,20
Rise Up Red,Hopworks Urban Brewery,"Portland, OR",American Amber / Red Ale,16 oz.,5.80%,60
Pine Belt Pale Ale,Southern Star Brewing Company,"Conroe, TX",American Pale Ale (APA),12 oz.,6.50%,45
Third Eye Enlightened Pale Ale,Steamworks Brewing Company,"Durango, CO",American Pale Ale (APA),12 oz.,6.50%,65
Watermelon Wheat,Horny Goat Brew Pub,"Milwaukee, WI",American Pale Wheat Ale,12 oz.,5.60%,N/A
Laka Laka Pineapple,Horny Goat Brew Pub,"Milwaukee, WI",Hefeweizen,12 oz.,5.10%,17
Oktoberfest,Horny Goat Brew Pub,"Milwaukee, WI",Märzen / Oktoberfest,16 oz.,6.00%,N/A
Fat Paczki,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,???,N/A
Earth-Like Planets,Brewery Vivant,"Grand Rapids, MI",Belgian Pale Ale,16 oz.,???,N/A
IPA #11,Cheboygan Brewing Company,"Cheboygan, MI",American IPA,16 oz.,5.70%,58
Blood Orange Honey,Cheboygan Brewing Company,"Cheboygan, MI",Fruit / Vegetable Beer,16 oz.,5.70%,10
Main St. Virginia Ale,Center of the Universe Brewing C...,"Ashland, VA",Altbier,12 oz.,5.00%,40
Summer Ale,Ipswich Ale Brewery,"Ipswich, MA",American Blonde Ale,12 oz,4.90%,N/A
Mr. Blue Sky,Griffin Claw Brewing Company,"Birmingham, MI",American Pale Wheat Ale,16 oz.,4.50%,6
Weisse Versa (2012),Karbach Brewing Company,"Houston, TX",Hefeweizen,12 oz.,5.20%,16
Oktoberfest,Rivertowne Brewing Company,"Export, PA",Märzen / Oktoberfest,12 oz.,6.20%,N/A
The Green Room,Uncle Billy's Brewery and Smokeh...,"Austin, TX",American IPA,16 oz.,6.00%,75
Neato Bandito,Deep Ellum Brewing Company,"Dallas, TX",Euro Pale Lager,12 oz.,6.00%,N/A
18th Anniversary Gose,Real Ale Brewing Company,"Blanco, TX",Gose,12 oz.,4.40%,5
Straub Beer (Current),Straub Brewery,"St Mary's, PA",American Adjunct Lager,12 oz.,5.00%,N/A
Black Hop IPA,Shebeen Brewing Company,"Wolcott, CT",American Black Ale,12 oz.,6.80%,N/A
Humbucker Helles,Uncle Billy's Brewery and Smokeh...,"Austin, TX",Maibock / Helles Bock,16 oz.,4.70%,25
Point Special (Current),Stevens Point Brewery,"Stevens Point, WI",American Adjunct Lager,12 oz.,4.70%,9
Point Special,Stevens Point Brewery,"Stevens Point, WI",American Adjunct Lager,12 oz.,4.70%,9
Royal Lager,Weston Brewing Company,"Weston, MO",American Pale Lager,16 oz.,???,N/A
Hop Ryot,Jackie O's Pub & Brewery,"Athens, OH",American IPA,12 oz.,6.50%,N/A
2014 IPA Cicada Series,Southern Prohibition Brewing Com...,"Hattiesburg, MS",American IPA,16 oz.,7.50%,72
Axe Head Malt Liquor,Minhas Craft Brewery,"Monroe, WI",American Malt Liquor,24 oz.,9.90%,N/A
Morning Wood Wheat (Current),Pug Ryan's Brewery,"Dillon, CO",American Pale Wheat Ale,12 oz.,5.90%,14
Huber Bock (2014),Minhas Craft Brewery,"Monroe, WI",Bock,16 oz.,5.40%,N/A
Minhas Light (2012),Minhas Craft Brewery,"Monroe, WI",Light Lager,12 oz.,4.00%,N/A
Porter Culture,Hops & Grains Brewing Company,"Austin, TX",American Porter,12 oz.,6.50%,N/A
Pay It Forward Cocoa Porter,West Sixth Brewing,"Lexington, KY",American Porter,12 oz.,7.00%,N/A
Old Soul,Crazy Mountain Brewing Company,"Edwards, CO",Belgian Strong Pale Ale,12 oz.,7.50%,25
Lighthouse Amber,Cheboygan Brewing Company,"Cheboygan, MI",Altbier,16 oz.,5.20%,N/A
Sietsema Red Label,Sietsema Orchards and Cider Mill,"Ada, MI",Cider,16 oz.,6.90%,N/A
Extra Pale Ale,Summit Brewing Company,"St Paul, MN",American Pale Ale (APA),12 oz.,5.30%,49
Behemoth,Core Brewing & Distilling Company,"Springdale, AR",American Pilsner,12 oz.,5.00%,N/A
Oklahoma Suks,Independence Brewing Company,"Austin, TX",American Amber / Red Ale,12 oz.,4.80%,32
Cubano Espresso,Cigar City Brewing Company,"Tampa, FL",Bock,12 oz.,5.50%,25
Rip Van Winkle (Current),Weston Brewing Company,"Weston, MO",Bock,12 oz.,8.00%,N/A
Hunny Do Wheat,Third Street Brewhouse,"Cold Spring, MN",American Pale Wheat Ale,12 oz.,4.80%,18
Sinister Minister Black IPA,Southern Prohibition Brewing Com...,"Hattiesburg, MS",American IPA,16 oz.,7.70%,65
Gansett Light,Narragansett Brewing Company,"Providence, RI",Light Lager,16 oz.,3.70%,10
O’Malley’s Stout,Weston Brewing Company,"Weston, MO",English Stout,12 oz.,???,N/A
O’Malley’s IPA,Weston Brewing Company,"Weston, MO",American IPA,12 oz.,7.50%,89
O’Malley’s Irish Style Cream Ale,Weston Brewing Company,"Weston, MO",Cream Ale,12 oz.,???,N/A
L'il Lucy's Hot Pepper Ale,Weston Brewing Company,"Weston, MO",Chile Beer,12 oz.,4.90%,28
Drop Kick Ale,Weston Brewing Company,"Weston, MO",American Amber / Red Ale,12 oz.,5.20%,N/A
Little Red Cap,Grimm Brothers Brewhouse,"Loveland, CO",Altbier,12 oz.,6.30%,43
Shark Tracker Light lager,Cisco Brewers,"Nantucket, MA",Light Lager,12 oz.,4.80%,N/A
Charlie's Rye IPA,Angry Minnow,"Hayward, WI",American IPA,16 oz.,6.00%,N/A
New Cleveland Palesner,Platform Beer Company,"Cleveland, OH",American Pilsner,12 oz.,5.00%,N/A
Perpetual Darkness,Odyssey Beerwerks,"Arvada, CO",Belgian Strong Dark Ale,12 oz.,9.20%,72
Clan Warrior,Odyssey Beerwerks,"Arvada, CO",Scotch Ale / Wee Heavy,12 oz.,8.70%,29
Psycho Penguin Vanilla Porter,Odyssey Beerwerks,"Arvada, CO",American Porter,12 oz.,5.40%,36
Deadeye Jack,Lonerider Brewing Company,"Raleigh, NC",American Porter,12 oz.,6.00%,N/A
Watershed IPA,Oakshire Brewing,"Eugene, OR",American IPA,12 oz.,6.70%,70
Pistols at Dawn,Lonerider Brewing Company,"Raleigh, NC",American Stout,16 oz.,7.50%,N/A
Peacemaker Pale Ale,Lonerider Brewing Company,"Raleigh, NC",American Pale Ale (APA),12 oz.,5.70%,47
Shotgun Betty,Lonerider Brewing Company,"Raleigh, NC",Hefeweizen,12 oz.,5.80%,11
Sweet Josie,Lonerider Brewing Company,"Raleigh, NC",American Brown Ale,12 oz.,6.10%,30
Smitten,Bell's Brewery,"Kalamazoo, MI",Rye Beer,16 oz.,6.00%,N/A
Cast Iron Oatmeal Brown,4 Hands Brewing Company,"Saint Louis, MO",American Brown Ale,12 oz.,5.50%,N/A
Ultra Gnar Gnar IPA,Base Camp Brewing Co.,"Portland, OR",American IPA,12 oz.,6.70%,60
Fort Pitt Ale,Fort Pitt Brewing Company,"Latrobe, PA",American Amber / Red Ale,12 oz.,???,N/A
Turnrow Harvest Ale,Tin Roof Brewing Company,"Baton Rouge, LA",American Blonde Ale,12 oz.,5.50%,N/A
Jack the Sipper,Southern Prohibition Brewing Com...,"Hattiesburg, MS",Extra Special / Strong Bitter (ESB),12 oz.,5.30%,45
Knotty Blonde Ale,Three Creeks Brewing,"Sisters, OR",American Blonde Ale,12 oz.,4.00%,18
Ginja Ninja,2 Towns Ciderhouse,"Corvallis, OR",Cider,12 ounce,6.00%,N/A
Fivepine Chocolate Porter,Three Creeks Brewing,"Sisters, OR",American Porter,12 oz.,6.20%,40
Hoodoo Voodoo IPA,Three Creeks Brewing,"Sisters, OR",American IPA,12 oz.,6.20%,82
Hopportunity Knocks IPA,Caldera Brewing Company,"Ashland, OR",American IPA,12 oz.,6.80%,100
Wild Trail Pale Ale,Greenbrier Valley Brewing Company,"Lewisburg, WV",American Pale Ale (APA),12 oz.,5.70%,44
Mothman Black IPA,Greenbrier Valley Brewing Company,"Lewisburg, WV",American Black Ale,12 oz.,6.70%,71
Camelback,Phoenix Ale Brewery,"Phoenix, AZ",American IPA,12 oz.,6.10%,60
Knotty Pine,Lumberyard Brewing Company,"Flagstaff, AZ",American Pale Ale (APA),12 oz.,5.40%,N/A
PUNK'N,Uinta Brewing Company,"Salt Lake City, UT",Pumpkin Ale,12 oz.,5.00%,10
Sunbru Kölsch,Four Peaks Brewing Company,"Tempe, AZ",Kölsch,12 oz.,5.20%,17
River House,Martin House Brewing Company,"Fort Worth, TX",Saison / Farmhouse Ale,16 oz.,5.00%,20
Smooth Operator,Right Brain Brewery,"Traverse City, MI",Cream Ale,16 oz.,3.80%,N/A
Summer Brew,"Woodstock Inn, Station & Brewery","North Woodstock, NH",American Pilsner,12 oz.,2.80%,15
Homefront IPA,Sly Fox Brewing Company,"Phoenixville, PA",American IPA,12 oz.,6.00%,70
Sundown,Round Guys Brewing,"Lansdale, PA",Saison / Farmhouse Ale,12 oz.,7.10%,36
Beer Agent Re-Ignition,Great Crescent Brewery,"Aurora, IN",American Blonde Ale,16 oz.,5.30%,22
Pinner Throwback IPA,Oskar Blues Brewery,"Longmont, CO",American IPA,12 oz.,4.90%,35
Power & Light,Independence Brewing Company,"Austin, TX",American Pale Ale (APA),12 oz.,5.50%,42
1492,Boxcar Brewing Company,"West Chester, PA",American Pale Ale (APA),12 oz.,6.50%,N/A
Mango Ginger,Boxcar Brewing Company,"West Chester, PA",American IPA,12 oz.,5.80%,N/A
Passenger,Boxcar Brewing Company,"West Chester, PA",English Dark Mild Ale,12 oz.,4.70%,N/A
Devil's Harvest Extra Pale Ale,Southern Prohibition Brewing Com...,"Hattiesburg, MS",American Pale Ale (APA),12 oz.,5.80%,60
Suzy B Dirty Blonde Ale,Southern Prohibition Brewing Com...,"Hattiesburg, MS",American Blonde Ale,12 oz.,5.00%,20
The Golden One,High Hops Brewery,"Windsor, CO",American Pilsner,12 oz.,6.30%,21
The Power of Zeus,High Hops Brewery,"Windsor, CO",American Pale Ale (APA),12 oz.,7.00%,68
Aviator Raspberry Blonde,Crooked Fence Brewing Company,"Garden City, ID",American Blonde Ale,12 oz.,4.90%,25
Little Sister India Style Session Ale,Everybody's Brewing,"White Salmon, WA",American IPA,12 oz.,4.30%,60
Blood Orange Gose,Anderson Valley Brewing Company,"Boonville, CA",Gose,12 oz.,4.20%,N/A
Ski Patrol,Brewery Vivant,"Grand Rapids, MI",Witbier,16 oz.,6.10%,N/A
Mastermind,Fiddlehead Brewing Company,"Shelburne, VT",American Double / Imperial IPA,12 oz.,8.10%,N/A
Reprise Centennial Red,4 Hands Brewing Company,"Saint Louis, MO",American Amber / Red Ale,12 oz.,6.00%,N/A
Alter Ego,4 Hands Brewing Company,"Saint Louis, MO",American Black Ale,12 oz.,5.50%,N/A
Divided Sky,4 Hands Brewing Company,"Saint Louis, MO",American IPA,12 oz.,6.50%,N/A
Resurrected,4 Hands Brewing Company,"Saint Louis, MO",American IPA,12 oz.,6.50%,N/A
Hinchtown Hammer Down,Flat 12 Bierwerks,"Indianapolis, IN",American Blonde Ale,16 oz.,5.00%,27
Nomader Weiss,Evil Twin Brewing,"Brooklyn, NY",Berliner Weissbier,12 oz.,4.00%,N/A
Huber,Minhas Craft Brewery,"Monroe, WI",American Pale Lager,12 oz.,5.00%,N/A
Clear Creek Ice,Minhas Craft Brewery,"Monroe, WI",American Pale Lager,16 oz.,6.20%,N/A
Clear Creek Ice,Minhas Craft Brewery,"Monroe, WI",American Pale Lager,12 oz.,6.20%,N/A
Mountain Crest,Minhas Craft Brewery,"Monroe, WI",American Pale Lager,16 oz.,5.50%,N/A
Mountain Crest,Minhas Craft Brewery,"Monroe, WI",American Pale Lager,12 oz.,5.50%,N/A
Mountain Creek (2013),Minhas Craft Brewery,"Monroe, WI",American Pale Lager,12 oz.,5.50%,N/A
Boxer,Minhas Craft Brewery,"Monroe, WI",American Adjunct Lager,24 oz.,5.00%,N/A
Boxer Light,Minhas Craft Brewery,"Monroe, WI",Light Lager,12 oz.,4.20%,N/A
Boxer Ice,Minhas Craft Brewery,"Monroe, WI",American Adjunct Lager,12 oz.,5.50%,N/A
Boxer,Minhas Craft Brewery,"Monroe, WI",American Adjunct Lager,12 oz.,5.00%,N/A
Rebirth Pale Ale,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",American Pale Ale (APA),12 oz.,5.00%,N/A
Ball & Chain (2014),Spiteful Brewing Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.80%,N/A
Point Cascade Pale Ale (2013),Stevens Point Brewery,"Stevens Point, WI",American Pale Ale (APA),12 oz.,5.40%,33
Rahr's Blonde,Rahr & Sons Brewing Company,"Fort Worth, TX",Munich Helles Lager,12 oz.,4.60%,N/A
Pretzel Stout,Martin House Brewing Company,"Fort Worth, TX",American Stout,16 oz.,6.50%,47
Walloon,Southern Star Brewing Company,"Conroe, TX",Saison / Farmhouse Ale,12 oz.,5.50%,N/A
Rad,Sixpoint Craft Ales,"Brooklyn, NY",Fruit / Vegetable Beer,16 oz.,3.20%,7
Devil's Cup,18th Street Brewery,"Gary, IN",American Pale Ale (APA),12 oz.,6.60%,N/A
Rise of the Phoenix,18th Street Brewery,"Gary, IN",American IPA,12 oz.,7.10%,N/A
Sinister,18th Street Brewery,"Gary, IN",American Double / Imperial IPA,12 oz.,9.00%,N/A
Sex and Candy,18th Street Brewery,"Gary, IN",American IPA,12 oz.,7.50%,N/A
Black Exodus,18th Street Brewery,"Gary, IN",Oatmeal Stout,12 oz.,7.70%,N/A
Lake Street Express,18th Street Brewery,"Gary, IN",American Pale Ale (APA),12 oz.,4.50%,N/A
Foreman,18th Street Brewery,"Gary, IN",American Porter,12 oz.,6.50%,N/A
Jade,18th Street Brewery,"Gary, IN",American Pale Ale (APA),12 oz.,5.50%,N/A
Remain in Light,Cambridge Brewing Company,"Cambridge, MA",American Pilsner,12 oz.,5.00%,N/A
Flower Child (2014),Cambridge Brewing Company,"Cambridge, MA",American IPA,12 oz.,6.50%,N/A
Santa's Secret,Carolina Brewery,"Pittsboro, NC",Winter Warmer,16 oz.,5.90%,22
Salamander Slam,Frog Level Brewing Company,"Waynesville, NC",American IPA,16 oz.,7.00%,73
Blonde Hunny,Wild Wolf Brewing Company,"Nellysford, VA",Belgian Pale Ale,12 oz.,6.80%,21
Gran Sport,COOP Ale Works,"Oklahoma City, OK",American Porter,16 oz.,5.20%,N/A
Oak Cliff Coffee Ale,Deep Ellum Brewing Company,"Dallas, TX",American Brown Ale,12 oz.,7.50%,33
Seventh Son of a Seventh Son,Seventh Son Brewing Company,"Columbus, OH",American Strong Ale,16 oz.,7.70%,40
Sanctified,Round Guys Brewing,"Lansdale, PA",Belgian Strong Pale Ale,12 oz.,9.90%,N/A
Molotov Lite,Evil Twin Brewing,"Brooklyn, NY",American Double / Imperial IPA,16 oz.,8.50%,N/A
Lake Monster,Oasis Texas Brewing Company,"Austin, TX",Baltic Porter,16 oz.,8.20%,25
Night Cat,Two Brothers Brewing Company,"Warrenville, IL",American Dark Wheat Ale,12 oz.,5.80%,43
Nunica Pine,Vander Mill Ciders,"Spring Lake, MI",Cider,16 oz.,6.80%,N/A
Ginger Peach,Vander Mill Ciders,"Spring Lake, MI",Cider,16 oz.,6.90%,N/A
Gunga Din,St. Julian Winery,"Paw Paw, MI",Cider,16 oz.,5.20%,N/A
Viking Ice Hole,Brewery Vivant,"Grand Rapids, MI",Oatmeal Stout,16 oz.,6.30%,N/A
Rye Porter,Brewery Vivant,"Grand Rapids, MI",American Porter,16 oz.,5.60%,N/A
Torpedo,Sierra Nevada Brewing Company,"Chico, CA",American IPA,12 oz.,7.20%,65
Lobo Lito,Pedernales Brewing Company,"Fredericksburg, TX",Light Lager,12 oz.,4.00%,12
Towhead,Mother's Brewing,"Springfield, MO",American Blonde Ale,12 oz.,5.20%,21
Monkadelic,Modern Monks Brewery,"Lincoln, NE",American Pale Ale (APA),12 oz.,4.20%,N/A
Day Hike Session,Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,4.10%,41
Monarch Pilsner,Snake River Brewing Company,"Jackson, WY",American Pilsner,12 oz.,5.00%,N/A
American Lager,Straub Brewery,"St Mary's, PA",American Adjunct Lager,12 oz.,4.10%,8
American Amber,Straub Brewery,"St Mary's, PA",American Amber / Red Lager,12 oz.,4.10%,8
American Light,Straub Brewery,"St Mary's, PA",Light Lager,12 oz.,3.20%,13
Ranger IPA,New Belgium Brewing Company,"Fort Collins, CO",American IPA,12 oz.,6.50%,70
Pride of Texas Pale Ale,Rahr & Sons Brewing Company,"Fort Worth, TX",American Pale Ale (APA),12 oz.,5.80%,60
Point Special,Stevens Point Brewery,"Stevens Point, WI",American Adjunct Lager,12 oz.,4.70%,9
Dark Voyage Black IPA (2013),Capital Brewery,"Middleton, WI",American Black Ale,12 oz.,6.50%,80
Wisconsin Amber,Capital Brewery,"Middleton, WI",Vienna Lager,12 oz.,5.20%,28
Lake House,Capital Brewery,"Middleton, WI",Munich Helles Lager,12 oz.,4.60%,18
Bohemian Pils,Narragansett Brewing Company,"Providence, RI",American Pilsner,16 oz.,5.20%,30
Ermal's,Warped Wing Brewing Company,"Dayton, OH",Cream Ale,16 oz.,5.40%,20
10 Ton,Warped Wing Brewing Company,"Dayton, OH",Oatmeal Stout,16 oz.,7.00%,N/A
Flyin' Rye,Warped Wing Brewing Company,"Dayton, OH",American IPA,16 oz.,7.00%,N/A
Barn Yeti,450 North Brewing Company,"Columbus, IN",Belgian Strong Dark Ale,16 oz.,9.00%,N/A
Scarecrow,450 North Brewing Company,"Columbus, IN",American IPA,16 oz.,6.90%,65
Ironman,450 North Brewing Company,"Columbus, IN",English Strong Ale,16 oz.,9.00%,50
Honey Kolsch,450 North Brewing Company,"Columbus, IN",Kölsch,16 oz.,4.60%,15
Copperhead Amber,450 North Brewing Company,"Columbus, IN",Belgian Dark Ale,16 oz.,5.20%,18
Java Mac,Sun King Brewing Company,"Indianapolis, IN",Scottish Ale,16 oz.,5.40%,N/A
Horny Toad Cerveza,COOP Ale Works,"Oklahoma City, OK",American Blonde Ale,16 oz.,5.30%,25
Native Amber,COOP Ale Works,"Oklahoma City, OK",American Amber / Red Ale,16 oz.,6.30%,35
Twisted X,Twisted X Brewing Company,"Dripping Springs, TX",American Adjunct Lager,12 oz.,5.10%,19
White (2015),Real Ale Brewing Company,"Blanco, TX",Witbier,12 oz.,4.60%,25
Special Release,Cedar Creek Brewery,"Seven Points, TX",,16 oz.,???,N/A
Sol Drifter,Madtree Brewing Company,"Cincinnati, OH",American Blonde Ale,12 oz.,4.30%,18
Lil' Helper,Mother's Brewing,"Springfield, MO",American IPA,12 oz.,7.00%,70
Golden One,Anthem Brewing Company,"Oklahoma City, OK",Belgian Pale Ale,12 oz.,6.80%,N/A
Bitter Biker Double IPA,Spiteful Brewing Company,"Chicago, IL",American Double / Imperial IPA,16 oz.,9.60%,N/A
Mountain Rescue Pale Ale,Goodlife Brewing Co.,"Bend, OR",American Pale Ale (APA),12 oz.,5.50%,40
Post Time Kölsch,Breakside Brewery,"Portland, OR",Kölsch,16 oz.,5.00%,N/A
Sunshine Pils,Tröegs Brewing Company,"Hershey, PA",American Pilsner,12 oz.,4.50%,45
312 Urban Pale Ale,Goose Island Brewing Company,"Chicago, IL",American Pale Ale (APA),12 oz.,5.40%,30
312 Urban Wheat Ale,Goose Island Brewing Company,"Chicago, IL",American Pale Wheat Ale,16 oz.,4.20%,18
Survival Stout,Hopworks Urban Brewery,"Portland, OR",American Stout,16 oz.,5.80%,35
Hopworks IPA,Hopworks Urban Brewery,"Portland, OR",American IPA,16 oz.,6.60%,75
Goose Island India Pale Ale,Goose Island Brewery Company,"Chicago, IL",American IPA,12 oz.,5.90%,55
Rubberneck Red,Martin House Brewing Company,"Fort Worth, TX",American Amber / Red Ale,16 oz.,5.00%,35
Couch Select Lager,Burnside Brewing Co.,"Portland, OR",American Pale Lager,12 oz.,5.00%,14
Double D Blonde,Hop Valley Brewing Company,"Springfield, OR",American Blonde Ale,12 oz.,4.90%,20
Worthy IPA,Worthy Brewing Company,"Bend, OR",American IPA,12 oz.,6.90%,69
Abominable Winter Ale,Hopworks Urban Brewery,"Portland, OR",American Strong Ale,16 oz.,7.30%,70
Occidental Hefeweizen,Occidental Brewing Company,"Portland, OR",American Pale Wheat Ale,16 oz.,4.70%,N/A
Loki Red Ale,Fearless Brewing Company,"Estacada, OR",American Amber / Red Ale,16 oz.,7.50%,53
Campside Session IPA,Upland Brewing Company,"Bloomington, IN",American IPA,16 oz.,4.50%,50
In-Tents India Pale Lager,Base Camp Brewing Co.,"Portland, OR",American Pale Lager,12 oz.,6.80%,62
Lost Meridian Wit,Base Camp Brewing Co.,"Portland, OR",Witbier,12 oz.,5.00%,20
Celestial Meridian Cascadian Dark Lager,Base Camp Brewing Co.,"Portland, OR",Euro Dark Lager,12 oz.,5.10%,45
Tsunami IPA,Mehana Brewing Co.,"Hilo, HI",American IPA,19.2 oz.,7.20%,75
Tsunami IPA,Mehana Brewing Co.,"Hilo, HI",American IPA,12 oz.,7.20%,75
Humpback Blonde Ale,Mehana Brewing Co.,"Hilo, HI",American Blonde Ale,12 oz.,4.20%,22
Kaua'i Golden Ale,Hawai'i Nui Brewing Co.,"Hilo, HI",American Blonde Ale,12 oz.,4.90%,N/A
Sunset Amber,Hawai'i Nui Brewing Co.,"Hilo, HI",American Pale Ale (APA),12 oz.,5.40%,N/A
Hapa Brown Ale,Hawai'i Nui Brewing Co.,"Hilo, HI",American Brown Ale,19.2 oz.,6.40%,N/A
